
========================================
[2026-06-14 22:42:34]
Target: Service: PermissionManagerServiceInternal
Method: getLegacyPermissions
Args: none
Result:
Collection [2837 elements]:
  [0] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{546220c android.permission.health.READ_RESTING_HEART_RATE}, mType=0, mUid=10292}
  [1] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{1b3456a android.permission.LAUNCH_DEVICE_MANAGER_SETUP}, mType=0, mUid=1000}
  [2] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{f3952f8 android.permission.MANAGE_DEVICE_POLICY_PROFILE_INTERACTION}, mType=0, mUid=1000}
  [3] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{f384e36 com.google.android.gms.auth.api.phone.permission.SEND}, mType=0, mUid=10243}
  [4] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{b2ca6a4 com.samsung.android.net.wifi.wifiguider.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION}, mType=0, mUid=10224}
  [5] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{13317c2 com.sec.android.app.myfiles.permission.MANAGE_TRASH}, mType=0, mUid=10123}
  [6] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{adf8910 android.permission.REAL_GET_TASKS}, mType=0, mUid=1000}
  [7] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{e1eee0e com.wakdev.nfctasks.permission.MAPS_RECEIVE}, mType=0, mUid=10380}
  [8] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a9c263c com.sec.android.emergencymode.permission.MODIFY_LOCATION_PROVIDER}, mType=0, mUid=1000}
  [9] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{6dfdd1a com.samsung.accessory.permission.TRANSPORTING_NOTIFICATION_ITEM}, mType=0, mUid=10174}
  [10] LegacyPermission{mGids=[1 items], mPermissionInfo=PermissionInfo{f236a28 android.permission.ACCESS_CACHE_FILESYSTEM}, mType=0, mUid=1000}
  [11] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{48eb0e6 com.sec.android.permission.PERSONAL_MEDIA}, mType=0, mUid=10148}
  [12] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{65900d4 android.permission.REMOTE_AUDIO_PLAYBACK}, mType=0, mUid=1000}
  [13] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{704f572 android.permission.START_CROSS_PROFILE_ACTIVITIES}, mType=0, mUid=1000}
  [14] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{6af5640 android.permission.DOWNLOAD_WITHOUT_NOTIFICATION}, mType=0, mUid=10060}
  [15] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{28f6be com.sec.spp.push.permission.SMP_LANDING_PROVIDER}, mType=0, mUid=10103}
  [16] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{953966c android.permission.health.WRITE_BASAL_METABOLIC_RATE}, mType=0, mUid=10292}
  [17] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{7f9c0ca android.permission.FOREGROUND_SERVICE_CAMERA}, mType=0, mUid=1000}
  [18] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{b19ad58 android.permission.NFC_PREFERRED_PAYMENT_INFO}, mType=0, mUid=1000}
